Iteration	expexted_value	risk	lambda
7.000000	0.000000	1363.784000	0.000000
1.000000	285.826000	1539.932000	0.020000
1.000000	571.651000	1508.505000	0.040000
1.000000	857.477000	1477.078000	0.060000
1.000000	1143.303000	1445.651000	0.080000
1.000000	1429.128000	1414.223000	0.100000
1.000000	1714.954000	1382.796000	0.120000
1.000000	2000.780000	1351.369000	0.140000
1.000000	2286.605000	1319.942000	0.160000
1.000000	2572.431000	1288.515000	0.180000
1.000000	2858.257000	1257.087000	0.200000
1.000000	3144.083000	1225.660000	0.220000
1.000000	3429.908000	1194.233000	0.240000
1.000000	3715.734000	1162.806000	0.260000
1.000000	4001.560000	1131.379000	0.280000
1.000000	4287.385000	1099.951000	0.300000
1.000000	4573.211000	1068.524000	0.320000
1.000000	4859.037000	1037.097000	0.340000
1.000000	5144.862000	1005.670000	0.360000
1.000000	5430.688000	974.243000	0.380000
1.000000	5716.514000	942.816000	0.400000
1.000000	6002.339000	911.388000	0.420000
1.000000	6288.165000	879.961000	0.440000
1.000000	6573.991000	848.534000	0.460000
1.000000	6859.816000	817.107000	0.480000
1.000000	7145.642000	785.680000	0.500000
1.000000	7431.468000	754.252000	0.520000
1.000000	7717.294000	722.825000	0.540000
1.000000	8003.119000	691.398000	0.560000
1.000000	8288.945000	659.971000	0.580000
1.000000	8574.771000	628.544000	0.600000
1.000000	8860.596000	597.117000	0.620000
1.000000	9146.422000	565.689000	0.640000
1.000000	9432.248000	534.262000	0.660000
1.000000	9718.073000	502.835000	0.680000
1.000000	10003.899000	471.408000	0.700000
1.000000	10289.725000	439.981000	0.720000
1.000000	10575.550000	408.553000	0.740000
1.000000	10861.376000	377.126000	0.760000
1.000000	11147.202000	345.699000	0.780000
1.000000	11433.027000	314.272000	0.800000
1.000000	11718.853000	282.845000	0.820000
1.000000	12004.679000	251.417000	0.840000
1.000000	12290.505000	219.990000	0.860000
1.000000	12576.330000	188.563000	0.880000
1.000000	12862.156000	157.136000	0.900000
1.000000	13147.982000	125.709000	0.920000
1.000000	13433.807000	94.282000	0.940000
1.000000	13719.633000	62.854000	0.960000
1.000000	14005.459000	31.427000	0.980000
1.000000	14291.284000	-0.000000	1.000000
